28,30,33,55,62,13
8,13,25,27,33,6
4,20,24,36,39,16
16,33,34,42,66,3
30,31,34,59,61,16
4,15,21,29,57,2
1,3,27,56,60,21
3,15,31,42,50,20
2,8,14,36,53,18
15,21,33,49,55,26
12,48,55,63,67,21
23,29,59,65,66,9
6,17,22,43,56,14
7,12,50,58,65,16
11,24,53,57,67,6
12,44,46,56,66,25
4,8,30,50,56,24
1,34,45,50,65,11
4,9,12,44,46,19
7,10,28,34,52,26
3,18,42,50,55,17
4,21,56,57,62,24
19,41,49,50,55,18
1,3,28,34,37,17
13,33,42,57,59,21
3,5,36,39,43,16
4,8,10,23,62,23
15,35,39,42,49,14
10,13,18,27,40,17
1,23,32,45,56,3
2,14,16,31,37,15
49,54,55,64,69,15
21,25,39,49,60,19
1,11,19,26,44,6
27,30,53,58,65,7
1,4,6,34,65,2
11,26,47,65,68,10
9,20,39,49,60,24
5,28,47,50,56,11
8,19,30,46,61,23
9,14,16,45,49,5
4,6,10,42,65,8
12,16,18,27,69,16
28,35,53,63,64,2
1,7,16,45,69,20
11,24,27,33,38,21
1,3,17,41,67,10
12,25,30,34,44,21
13,17,27,63,67,13
8,16,30,47,53,1
14,15,21,39,55,5
15,19,35,51,56,19
7,33,43,59,65,18
7,23,40,45,56,13
8,22,38,40,65,21
11,36,39,57,60,23
18,35,37,61,63,3
1,27,38,39,43,18
5,8,13,58,61,20
16,22,27,52,68,20
8,20,21,35,43,25
4,19,33,43,59,23
4,11,26,46,67,16
2,10,16,22,69,1
24,33,48,49,55,6
4,7,27,42,43,1
1,16,25,30,41,6
25,45,56,58,67,6
10,44,48,49,65,4
2,3,18,48,59,2
8,11,27,43,66,23
4,24,34,35,51,20
2,12,36,49,61,2
1,8,26,42,65,12
1,26,28,42,50,9
18,46,47,50,53,22
4,31,44,45,58,12
15,16,36,42,68,24
3,20,28,40,52,24
12,40,50,52,65,12
16,28,40,48,49,20
11,12,30,41,42,15
13,15,22,48,64,4
5,8,26,53,61,15
1,7,8,17,36,22
30,45,53,60,64,2
10,61,65,67,69,25
4,12,16,26,37,24
26,31,32,33,61,17
9,30,39,46,61,6
11,14,51,63,64,17
8,9,41,54,63,13
7,17,36,43,62,4
24,31,44,50,51,1
2,25,29,32,64,17
3,15,43,64,66,24
5,12,16,50,60,20
16,22,23,30,42,10
3,4,27,50,53,2
20,37,48,49,56,11
3,9,39,45,49,5
22,36,38,53,66,14
7,29,30,47,49,2
3,10,29,32,59,2
1,12,21,24,43,2
2,3,13,36,44,10
19,24,32,51,66,20
3,7,10,33,36,11
22,25,31,35,45,19
4,29,40,50,59,26
9,21,23,48,53,21
4,26,44,50,69,10
6,8,35,40,49,11
5,16,34,48,58,21
16,17,22,29,32,6
10,26,32,59,66,25
9,27,37,40,57,23
12,40,44,61,69,1
48,56,58,63,68,26
2,6,16,29,65,8
19,52,61,64,65,19
5,15,19,42,45,21
6,43,47,64,68,12
11,12,20,63,69,18
4,21,24,51,69,5
3,24,32,38,62,5
5,8,16,43,60,22
18,27,34,57,61,12
12,21,36,49,59,16
12,37,48,58,68,10
8,13,14,18,47,23
3,11,15,28,50,10
17,24,28,31,52,3
1,2,11,12,20,23
4,16,38,51,67,12
6,38,49,63,67,22
2,16,40,43,44,1
6,24,26,29,59,18
4,12,28,50,68,9
13,18,40,47,56,11
7,13,18,22,61,19
11,38,61,64,68,16
19,40,56,67,69,26
12,19,56,61,64,12
12,27,52,58,68,21
7,16,32,37,63,24
3,18,19,53,54,4
10,20,46,51,56,13
17,19,23,57,63,4
38,40,54,66,67,18
6,12,19,58,68,20
29,32,36,50,54,15
9,20,31,32,54,5
7,18,26,41,60,26
13,24,27,51,61,7
19,25,35,48,66,10
2,9,39,55,62,24
6,12,16,20,50,10
9,11,20,21,40,8
8,18,28,46,69,10
1,29,35,41,67,6
9,16,31,34,66,7
16,18,46,49,67,16
28,30,36,64,67,25
6,22,38,43,61,16
8,22,31,39,68,11
8,18,23,58,69,14
5,9,24,42,68,3
4,5,14,17,18,25
40,43,49,63,64,19
1,46,52,63,65,23
3,6,51,60,63,11
35,39,46,55,62,11
30,53,57,67,69,1
4,25,30,39,47,1
20,29,46,47,48,6
31,38,43,45,47,9
3,9,33,38,61,9
24,37,43,56,67,10
12,33,37,40,65,9
